intent,text
objective,should I buy two pieces of apple
objective,do we have any meat on the shoppinglist
objective,is milk on the list
objective,is there any frozen products on the shoppinglist
objective,are we required to do this
objective,shall I get some potato
objective,is it necessary to purchase bread
objective,are we here to buy toilet paper today
objective,is buying milk a goal for today
objective,are we having any coffee this time
objective,am I required to get three tomatoes
objective,do you know if oranges are needed
objective,can you let me know if we need a boar
objective,is babies necessary today
objective,what can you tell me about cows
objective,is the human race written down
objective,can you see if mom is on the list
objective,please let me know if we are in need of horses
objective,if you look at the list can you see any priests
objective,carpets do we need such
objective,ricecookers can you let me know if I should buying
objective,lionel messi should I get any
objective,is ronaldo something to be purchased know
objective,may you please tell me if god is there
objective,are pokemons interesting to buy today
objective,what can you say about marshmallows
objective,do I need to buy any california
objective,if you look at the list can you see iron human
objective,when you eye the list are rabbits something you can see
objective,footballs should I get some
objective,am I to get any rosalitas today
objective,what are the status for mario
objective,regarding moustaches do wee needed
objective,can you let me know what you think about luigi
objective,should I buy any cheerios
objective,are pokemon cards on the shoppinglist
objective,is umbrellas something I should buying
objective,are we in need of giraffes
objective,do we need a fork
objective,do you think knives should be bought
objective,can you update me on the status of plato
objective,descartes should I buy
objective,are dinosaurs something you would suggest me to get
objective,do I need to purchase homeros
objective,five dragons do I need that
objective,can you please tell me if grass is required
objective,shall we purchase some hotels this time
objective,please let me know if I should get bono
subjective,I want to buy some golden trees
subjective,I am buying some holes now
subjective,falafel is something that I desire
subjective,please let me buy some polo
subjective,can I please get some gas tonight
subjective,can you please let me know if I am allowed to get any plaque
subjective,is it ok for me to purchase some digimon
subjective,do you allow me to get summer
subjective,are you okay if I pay for some jokes
subjective,I would love some gargamel
subjective,glasses would be really nice right now
subjective,daddy I would like a glass of bark
subjective,I would fancy a car
subjective,can I have three projects
subjective,I want a horrible day today
subjective,would you say it is ok to buy hedgehogs
subjective,are you fine if I have som  garfield
subjective,are you fine if I get some socks
subjective,I am getting some now
subjective,I really really want some ica cards
subjective,I think we are to buy some cows
subjective,do you think I should have some poker chips
subjective,can I have parrots
subjective,can I please have robot men
subjective,are you okay if you I get any bars
subjective,I crave some hot and cold blue balls
subjective,I would like a nice cold car
subjective,I want a dark hand
subjective,we need to have this clear book
subjective,I want slippers and beer
subjective,I am in the opinion that we should have some cream
subjective,do I need cakes and bake
subjective,am I in need of any party
subjective,do you think I can have any chaos
subjective,I desire these red melons
subjective,is it okay if I purchase some of this
subjective,may I please have a cup of sweat
subjective,may I have a green shirt tomorrow
subjective,please can we buy mamma mia
subjective,please would you let me have coke in a bottle
subjective,please I want to have farts
subjective,I really like this pokemon card
subjective,these strawberries look great
subjective,if I cannot have golden eye I would feel sad
subjective,we are buying this right
subjective,may I get a piece of this
subjective,green monkeys I need that
subjective,I need to get some of the sweet and sour
subjective,if I would grab this would you be fine
subjective,do you believe it would be good for me to buy buns
subjective,I would like to get a taste of dry foxes
